,regressor,params,features,r2,mse,max_err
82,Lasso,"{'alpha': 100.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006822829356710747,2838435901461.742,31303414.247247018
83,Lasso,"{'alpha': 100.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0021763632022668844,2834192154957.5483,31086754.919097684
84,Lasso,"{'alpha': 100.0, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.0017992649067809507,2835263255091.179,31111937.16309693
85,Lasso,"{'alpha': 100.0, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006822828223490562,2838435901783.619,31303414.25541501
86,Lasso,"{'alpha': 100.0, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0021762682726654825,2834192424593.1045,31086748.742420003
87,Lasso,"{'alpha': 100.0, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0017992658502600234,2835263252411.3457,31111937.25899971
88,Lasso,"{'alpha': 100.0, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006822829356710747,2838435901461.742,31303414.247247018
89,Lasso,"{'alpha': 100.0, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.00217626933027415,2834192421589.1006,31086748.790161695
90,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,0.003628420816782163,2830067768495.0137,31170624.82285714
91,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,0.0013790658779139209,2836456777420.393,31255378.772953738
92,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.023185210797701417,2774519173837.59,31333787.051011432
93,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': 'log2', 'random_state': 0}",DAY_FEATURES,0.003628420816782163,2830067768495.0137,31170624.82285714
94,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': 'log2', 'random_state': 0}",NIGHT_FEATURES,0.0013790658779139209,2836456777420.393,31255378.772953738
95,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': 'log2', 'random_state': 0}",ALL_FEATURES,0.023185210797701417,2774519173837.59,31333787.051011432
96,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': None, 'random_state': 0}",DAY_FEATURES,-0.009565250843141193,2867542728332.25,31342143.418160446
97,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': None, 'random_state': 0}",NIGHT_FEATURES,0.0009887534204624515,2837565410713.9893,31207056.275031686
98,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 1, 'max_features': None, 'random_state': 0}",ALL_FEATURES,-0.009565250843141193,2867542728332.25,31342143.418160446
99,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,0.27413187298271324,2061736839315.9685,30277405.69736842
100,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,-0.3892056664510739,3945863433455.95,40044996.0
101,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.25892839079353314,2104920412403.9907,30629824.54901961
102,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': 'log2', 'random_state': 0}",DAY_FEATURES,0.1377354480935623,2449153676449.332,31193262.741758242
103,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': 'log2', 'random_state': 0}",NIGHT_FEATURES,-0.3892056664510739,3945863433455.95,40044996.0
104,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': 'log2', 'random_state': 0}",ALL_FEATURES,0.25892839079353314,2104920412403.9907,30629824.54901961
105,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': None, 'random_state': 0}",DAY_FEATURES,0.25945832296758153,2103415206919.8154,29687409.20960961
106,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': None, 'random_state': 0}",NIGHT_FEATURES,0.23790543458004487,2164633467273.5886,29355283.174757283
