,0,1
2026,"khushab, khushab, punjab, pakistan","['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]"
2027,"zafarwal, narowal, punjab, pakistan","['Zafarwal, Narowal, Punjab, Pakistan', 0.0, 32.3370042, 74.903339]"
2028,"kot addu, muzaffargarh, punjab, pakistan","['Kot Addu, Muzaffargarh, Punjab, Pakistan', 0.0, 30.4685082, 70.96062409999999]"
2029,"pindi gheb, attock, punjab, pakistan","['Pindigheb, Attock, Punjab, Pakistan', 0.0, 33.2451991, 72.2659868]"
2030,"kot momin, sargodha, punjab, pakistan","['Kot Momin, Sargodha, Punjab, Pakistan', 0.0, 32.1845196, 73.02576909999999]"
2031,"kot radha kishen, kasur, punjab, pakistan","['Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.1710804, 74.1063776]"
2032,"lahore city, lahore, punjab, pakistan","['Lahore, Punjab, Pakistan', 0.0, 31.5203696, 74.35874729999999]"
2033,"sangla hill, nankana sahib, punjab, pakistan","['Sangla Hill, Nankana Sahib, Punjab, Pakistan', 0.0, 31.7116523, 73.3885526]"
2034,"lahore, lahore, punjab, pakistan","['Lahore, Punjab, Pakistan', 0.0, 31.5203696, 74.35874729999999]"
2035,"lahore cantt, lahore, punjab, pakistan","['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]"
2036,"leiah, leiah, punjab, pakistan","['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]"
2037,"renala khurd, okara, punjab, pakistan","['Renala Khurd, Okara, Punjab, Pakistan', 0.0, 30.8781845, 73.5954329]"
2038,"rojhan, rajanpur, punjab, pakistan","['Rojhan, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6920222, 69.9520561]"
2039,"sadiqabad, rahim yar khan, punjab, pakistan","['Sadiqabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3110941, 70.1261227]"
2040,"sharak pur, sheikhupura, punjab, pakistan","['Sharaqpur, Sheikhupura, Punjab, Pakistan', 0.0, 31.4632106, 74.103441]"
2041,"liaquat pur, rahim yar khan, punjab, pakistan","['Liāqatpur, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.9393979, 70.9487357]"
2042,"lodhran, lodhran, punjab, pakistan","['Lodhrān, Lodhran, Punjab, Pakistan', 0.0, 29.546687, 71.6276388]"
2043,"muzaffargarh, muzaffargarh, punjab, pakistan","['Muzaffargarh, Punjab, Pakistan', 0.0, 30.07360869999999, 71.1804988]"
