UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
khariyan cannt 1, kharian, gujrat,,"['Street # 1, Kharian Cantt Kharian, Gujrat, Punjab, Pakistan', 0.0, 32.8081795, 73.8776922]",panjan kissa,kharian,gujrat
kharolian, sambrial, sialkot,,"['Kharolian Urichian, Sialkot, Punjab, Pakistan', 0.0, 32.4233845, 74.4239836]",peero chak,daska,sialkot
kharota syedan, sialkot, sialkot,,"['Kharota Syedan, Sialkot, Punjab, Pakistan', 0.0, 32.5612585, 74.53784619999999]",pindi arayan,sialkot,sialkot
khayaban colony, faisalabad city, faisalabad,,"['Khayaban Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.4289674, 73.1305349]",chak no. 202,faisalabad saddar,faisalabad
khewrah 1, pind dadan khan, jhelum,,"['Khewra, Jhelum, Punjab, Pakistan', 0.0, 32.6305125, 73.0110096]",sauwal,pind dadan khan,jhelum
khewrah2, pind dadan khan, jhelum,,"['Pind Dadan Khan, Jhelum, Punjab, Pakistan', 0.0, 32.5883708, 73.0434794]",dharvala jal,pind dadan khan,jhelum
khiali shah pur, gujranwala, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala
khiali shah pur, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala
khokherki 14, gujranwala, gujranwala,,"['Khokhar Ke, Gujranwala, Punjab, Pakistan', 0.0, 32.1737914, 74.2047256]",gujranwala c,gujranwala city,gujranwala
khurram paracha, taxila, rawalpindi,,"['Khurram Paracha, Khurram, Rawalpindi, Pakistan', 0.0, 33.7335007, 72.8737017]",None,taxila tehsil,rawalpindi
khushab urban 1, khushab, khushab,,"['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]",chak no 59/mb,khushab,khushab
khushab urban 2, khushab, khushab,,"['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]",chak no 59/mb,khushab,khushab
khushab urban 3, khushab, khushab,,"['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]",chak no 59/mb,khushab,khushab
khushab urban 4, khushab, khushab,,"['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]",chak no 59/mb,khushab,khushab
khushab urban 5, khushab, khushab,,"['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]",chak no 59/mb,khushab,khushab
khuwaja fareed colony, multan city, multan,,"['Vehari Road، Peoples Colony, Multan, Punjab, Pakistan', 0.0, 30.1730304, 71.4991326]",bhaini,multan city,multan
khyaban sirsyed junubi, rawalpindi, rawalpindi,,"['D-713, Khayaban Main Rd Sector 3, Khayaban-e-Sir Syed, Khayaban e Sir Syed, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.6283462, 73.0499446]",dhoke mangtal,rawalpindi tehsil,rawalpindi
khyaban sirsyed shamali, rawalpindi, rawalpindi,,"['10-A I.J.P. Road, Sector 1 Khayaban e Sir Syed, Rawalpindi, Islamabad, Punjab 46000, Pakistan', 0.0, 33.6413087, 73.0448722]",dhoke mangtal,rawalpindi tehsil,rawalpindi
killian wala, tandlian wala, faisalabad,,"['Killian Wala, Faisalabad, Punjab, Pakistan', 0.0, 30.8244744, 72.925386]",chak no. 455,tandlianwala,faisalabad
kohluwala, gujranwala, gujranwala,,"['Kohlo Wala, Gujranwala, Punjab, Pakistan', 0.0, 32.089437, 74.172438]",attawa,gujranwala saddar,gujranwala
kohluwala, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala
kolian shah hussain, kharian, gujrat,,"['Kolian Shah Hussain, Gujrat, Punjab, Pakistan', 0.0, 32.6383998, 73.74263719999999]",amra kalan,kharian,gujrat
kolu tarar, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad
kontarila, gujar khan, rawalpindi,,"['Kontrilla, Rawalpindi, Punjab, Pakistan', 0.0, 33.1278021, 73.2617928]",None,gujar khan tehsil,rawalpindi
kopra, sambrial, sialkot,,"['Kopra, Sialkot, Punjab, Pakistan', 0.0, 32.4715437, 74.2597483]",gojra,daska,sialkot
kori dolal, gujar khan, rawalpindi,,"['Kuri Dolal, Rawalpindi, Punjab, Pakistan', 0.0, 33.3858447, 73.2632672]",None,gujar khan tehsil,rawalpindi
korianwali, bahawalnagar, bahawalnagar,,"['Bahawalnagar District, Bahawalnagar, Punjab, Pakistan', 0.0, 30.0024888, 73.2411506]",kabootri,minchinabad,bahawalnagar
kosarabad, faisalabad city, faisalabad,,"['Faisalabad City, Faisalabad, Punjab, Pakistan', 0.0, 31.33599139999999, 72.94605659999999]",chak no. 78/,faisalabad saddar,faisalabad
kosarabad, tandlian wala, faisalabad,,"['Tandlian Wala, Faisalabad, Punjab, Pakistan', 0.0, 31.0328533, 73.12905959999999]",chak no. 429,tandlianwala,faisalabad
kot abdual rehman, muridke, sheikhupura,,"['Kot Abdul Malik, Sheikhupura, Punjab, Pakistan', 0.0, 31.62042, 74.2343811]",faiz pur khu,ferozewala,sheikhupura
kot abdul malik 1, ferozewala, sheikhupura,,"['Kot Abdul Malik, Sheikhupura, Punjab, Pakistan', 0.0, 31.62042, 74.2343811]",faiz pur khu,ferozewala,sheikhupura
kot abdul malik 2, ferozewala, sheikhupura,,"['Kot Abdul Malik, Sheikhupura, Punjab, Pakistan', 0.0, 31.62042, 74.2343811]",faiz pur khu,ferozewala,sheikhupura
kot abdul malik 3, ferozewala, sheikhupura,,"['Kot Abdul Malik, Sheikhupura, Punjab, Pakistan', 0.0, 31.62042, 74.2343811]",faiz pur khu,ferozewala,sheikhupura
kot amar singh, gujranwala, gujranwala,,"['Raj Kot Rd, Gujranwala, Punjab, Pakistan', 0.0, 32.1885079, 74.155185]",lohian wala,gujranwala saddar,gujranwala
kot amar singh, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala
kot begum uc, ravi town, lahore,,"['Begum Kot Shahdara Town, Shahdara, Lahore, Punjab, Pakistan', 0.0, 31.6166787, 74.26708339999999]",kot begum,lahore,lahore
kot chatta, dera ghazi khan, dera ghazi khan,,"['Kot Chutta, Dera Ghazi Khan, Punjab, Pakistan', 0.0, 29.8886798, 70.6514213]",nautak,dera ghazi khan,dera ghazi khan
kot chaudrian, chakwal, chakwal,,"['Kot Chaudhrian, Chakwal, Punjab, Pakistan', 0.0, 33.0382388, 72.5190038]",kot chaudhar,chakwal,chakwal
kot hussain khan, nankana sahib, nankana sahib,,"['Kot Hussain, Nankana Sahib, Punjab, Pakistan', 0.0, 31.3968489, 73.6896735]",nankana sahi,nankana sahib,sheikhupura
kot inayat khan, wazirabad, gujranwala,,"['Kot Ināyat Khān, Gujranwala, Punjab, Pakistan', 0.0, 32.34618440000001, 74.16436519999999]",ghakhar - 1,wazirabad,gujranwala
kot kalra, nankana sahib, nankana sahib,,"['Nankana Sahib, Punjab, Pakistan', 0.0, 31.449151, 73.712479]",walgon machr,nankana sahib,sheikhupura
kot khuwaja saeed, lahore city, lahore,,"['Kot Khawaja Saeed, Lahore, Punjab, Pakistan', 0.0, 31.5902975, 74.36167979999999]",begum pura,lahore,lahore
kot mahbo, lahore city, lahore,,"['Shahdara Town, Shahdara, Lahore, Punjab, Pakistan', 0.0, 31.63372, 74.29361]",qaiser town,lahore,lahore
kot mahbo, ravi town, lahore,,"['Kacha Ravi Rd, Daata Ganj Bakhsh Town, Lahore, Punjab, Pakistan', 0.0, 31.58886, 74.3044546]",bilal ganj,lahore,lahore
kot radha kashan 14, kasur, kasur,,"['Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.1710804, 74.1063776]",bhedian kala,kasur,kasur
kot radha kashan 14, kot radha kishen, kasur,,"['Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.1710804, 74.1063776]",bhedian kala,kasur,kasur
kot radha kashan 15, kot radha kishen, kasur,,"['Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.1710804, 74.1063776]",bhedian kala,kasur,kasur
kot raja abdal, kot momin, sargodha,,"['Kot Momin, Sargodha, Punjab, Pakistan', 0.0, 32.1845196, 73.02576909999999]",kot moman -,bhalwal,sargodha
kot samaba, rahim yar khan, rahim yar khan,,"['Kot Samaba, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.5521456, 70.46996829999999]",urban_1,rahim yar khan,rahim yar khan
kot sardar kahan singh, pattoki, kasur,,"['Pattoki, Kasur, Punjab, Pakistan', 0.0, 31.0249373, 73.8479128]",chak 13,chunian,kasur
kot shera, gujranwala, gujranwala,,"['Kot Shera, Gujranwala, Punjab, Pakistan', 0.0, 32.1221711, 74.1254641]",ladhe wala -,gujranwala saddar,gujranwala
kot shera, khiali shah pur town, gujranwala,,"['Kot Shera, Gujranwala, Punjab, Pakistan', 0.0, 32.1221711, 74.1254641]",ladhe wala -,gujranwala saddar,gujranwala
kot syed muhammad, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad
kotha kalan, rawalpindi, rawalpindi,,"['Kotha Kalan Rawalpindi, Punjab, Pakistan', 0.0, 33.55174410000001, 73.08627349999999]",gulistan colony,rawalpindi tehsil,rawalpindi
kothi wala chak no. 7, pattoki, kasur,,"['Kothi Wala, Multan, Punjab, Pakistan', 0.0, 30.160638, 71.6576941]",budhla sant,multan saddar,multan
kotla arab ali khan, kharian, gujrat,,"['Kotla Arab Ali Khan, Gujrat, Punjab, Pakistan', 0.0, 32.8514162, 74.0726044]",bhaddar,kharian,gujrat
kotla qasim khan, kharian, gujrat,,"['Kotla Qasim Khan, Gujrat, Punjab, Pakistan', 0.0, 32.6822247, 73.9345125]",karnana,kharian,gujrat
kotla zarif khan, shorkot, jhang,,"['Kotla Muhammad Zareef Khan, Shorkot, Jhang, Punjab, Pakistan', 0.0, 30.8172737, 72.0668152]",bhangoo,shorkot,jhang
kotli korotani, muridke, sheikhupura,,"['Kotli', 0.0, 33.5008465, 73.90070899999999]",Not Found,Not Found,Not Found
kotli roy abu bakar, kasur, kasur,,"['Kotli Rai Abu Bakar, Kasur, Punjab, Pakistan', 0.0, 31.1018977, 74.27808550000002]",raja jang,kasur,kasur
kotli rustam 49, gujranwala, gujranwala,,"['Kotli Rustam, Gujranwala, Punjab, Pakistan', 0.0, 32.1594971, 74.1577599]",gujranwala c,gujranwala city,gujranwala
kotli sattian, kotli sattian, rawalpindi,,"['Kotli Sattian, Rawalpindi, Punjab, Pakistan', 0.0, 33.8081622, 73.5255463]",None,kotli sattian tehsil,rawalpindi
kukar hatta, kabirwala, khanewal,,"['Kukkar Hatta, Khanewal, Punjab, Pakistan', 0.0, 30.4056588, 71.7592825]",okah wala,kabirwala,khanewal
kundiyan urban 1, piplan, mianwali,,"['Kundian, Mianwali, Punjab, Pakistan', 0.0, 32.4525158, 71.4833652]",kundian,piplan,mianwali
kundiyan urban 2, piplan, mianwali,,"['Kundian, Mianwali, Punjab, Pakistan', 0.0, 32.4525158, 71.4833652]",kundian,piplan,mianwali
kurri bla, faisalabad sadar, faisalabad,,"['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]",faisalabad c,faisalabad city,faisalabad
lab thatha, taxila, rawalpindi,,"['Taxila Cantt Rd, Taxila, Rawalpindi, Punjab, Pakistan', 0.0, 33.7528625, 72.80612789999999]",None,taxila tehsil,rawalpindi
