UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
chak no 008/nb, bhalwal, sargodha,,"['Chak No 8 N.B Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.2704292, 72.905452]",8 nb,bhalwal,sargodha
chak no 010/ml, bhalwal, sargodha,,"['Chak No 10 ML, Sargodha, Punjab, Pakistan', 0.0, 32.3575257, 72.9187415]",bhalwal - 4,bhalwal,sargodha
chak no 010/nb, bhalwal, sargodha,,"['Chak No.10.NB, Sargodha, Punjab, Pakistan', 0.0, 32.2425294, 72.8729633]",8 nb,bhalwal,sargodha
chak no 015/sb, bhalwal, sargodha,,"['Sargodha, Punjab, Pakistan', 0.0, 32.1956037, 72.83177409999999]",11 sb,bhalwal,sargodha
chak no 018/nb, bhalwal, sargodha,,"['Chak No 18 N.B, Sargodha, Punjab, Pakistan', 0.0, 32.2604995, 72.8242221]",15 sb,bhalwal,sargodha
chak no. 100/15l, mian channu, khanewal,,"['Chak No 133/16-L Bus Stop, Chak 133 16-L Amrat Nagar, Khanewal, Punjab, Pakistan', 0.0, 30.4139363, 72.275448]",14/8 ar,mian channu,khanewal
chak no 100/64, aroop town, gujranwala,,"['Chak No.100/W.B, Vehari, Punjab, Pakistan', 0.0, 30.0351414, 72.045335]",155/wb,vehari,vehari
chak no 100/64, gujranwala, gujranwala,,"['Chak No.100/W.B, Vehari, Punjab, Pakistan', 0.0, 30.0351414, 72.045335]",155/wb,vehari,vehari
chak no. 101 g.b poliani, jaranwala, faisalabad,,"['Chak 101 GB, Faisalabad, Punjab, Pakistan', 0.0, 31.4272534, 73.3716065]",chak no. 76/,jaranwala,faisalabad
chak no. 101/6r, haroonabad, bahawalnagar,,"['Chak 101/6 R, Bahawalnagar, Punjab, Pakistan', 0.0, 29.5168123, 73.05602329999999]",chak no. 142,haroonabad,bahawalnagar
chak no. 103 r.b phulai, jaranwala, faisalabad,,"['Chak No 103 R.B Phalahiwala [Dr. Naeem Akhtar Awan], Chak 103 RB Phalahi Wala, Faisalabad, Punjab, Pakistan', 0.0, 31.44964929999999, 73.3272882]",chak no. 106,jaranwala,faisalabad
chak no 105-p, rahim yar khan, rahim yar khan,,"['Chak, Sadiqabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3320198, 70.1161834]",roshan bhaint,sadiqabad,rahim yar khan
chak no. 105/6r, haroonabad, bahawalnagar,,"['Chak 73/4 R, Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6016898, 73.1460243]",haroonabad c,haroonabad,bahawalnagar
chak no. 106 r.b chaudry wala, jaranwala, faisalabad,,"['Chak 106 RB Chaudrywala, Faisalabad, Punjab, Pakistan', 0.0, 31.4424223, 73.2927526]",chak no. 106,jaranwala,faisalabad
chak no. 106/10r, jahanian, khanewal,,"['Chak 106/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.0760243, 71.8408268]",rahim shah,jehanian,khanewal
chak no. 106d.b, yazman, bahawalpur,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 106g.b, jaranwala, faisalabad,,"['Shahkot Rd، Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.450469, 73.4531485]",chak no. 97/,jaranwala,faisalabad
chak no. 106j.b, chak jhumra, faisalabad,,"['Chak Jhumra, Faisalabad, Punjab, Pakistan', 0.0, 31.5628728, 73.1880618]",chak no. 155,chak jumra,faisalabad
chak no. 109/6r, haroonabad, bahawalnagar,,"['109/6-R, Bahawalnagar, Punjab, Pakistan', 0.0, 29.5131191, 72.9527004]",faqirwali,haroonabad,bahawalnagar
chak no. 11/1 l, renala khurd, okara,,"['11/1-L, Okara, Punjab, Pakistan', 0.0, 30.8113491, 73.5792884]",chak 13/1-l,renala khurd,okara
chak no 112/9l, sahiwal, sahiwal,,"['Sahiwal (Sahiwal), Punjab, Pakistan', 0.0, 30.6490124, 73.13496049999999]",78/5.r,sahiwal,sahiwal
chak no. 112g.b, jaranwala, faisalabad,,"['Shahkot Rd، Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.450469, 73.4531485]",chak no. 97/,jaranwala,faisalabad
chak no 113/10r, jahanian, khanewal,,"['Chak No.113/10R, Khanewal, Punjab, Pakistan', 0.0, 30.0486394, 71.80524640000002]",140/10-r,jehanian,khanewal
chak no. 115/15-l, mian channu, khanewal,,"['Chak No 115/15-L, Khanewal, Punjab, Pakistan', 0.0, 30.3874393, 72.3296331]",jarahi,mian channu,khanewal
chak no. 115g.b, jaranwala, faisalabad,,"['Chak 115 GB, Faisalabad, Punjab, Pakistan', 0.0, 31.2621634, 73.2477858]",chak no. 73/,jaranwala,faisalabad
chak no. 117d.b, yazman, bahawalpur,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 118 murad, chishtian, bahawalnagar,,"['Chak No.118/EB, Vehari, Punjab, Pakistan', 0.0, 30.3022002, 72.6587256]",403/eb,burewala,vehari
chak no 118 shumali, sillanwali, sargodha,,"['Shumali, Sahiwal District, Punjab, Pakistan', 0.0, 30.6120041, 73.2455741]",67/5.l,sahiwal,sahiwal
chak no. 12 gd, okara, okara,,"['12 G.D, Okara, Punjab, Pakistan', 0.0, 30.9775545, 73.5118493]",kaman,renala khurd,okara
chak no 12/rb, safdarabad, sheikhupura,,"['Sheikhupura, Punjab, Pakistan', 0.0, 31.5458674, 74.03609279999999]",marh bhan go,ferozewala,sheikhupura
chak no. 122g.b, jaranwala, faisalabad,,"['Shahkot Rd، Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.450469, 73.4531485]",chak no. 97/,jaranwala,faisalabad
chak no. 123/7er, mian channu, khanewal,,"['Chak 123/7ER, Khanewal, Punjab, Pakistan', 0.0, 30.5560303, 72.4598398]",tulamba,mian channu,khanewal
chak no. 124/15l, mian channu, khanewal,,"['Chak No 124/ 15 L, Khanewal, Punjab, Pakistan', 0.0, 30.4105624, 72.3806875]",jarahi,mian channu,khanewal
chak no. 125 j.b japay, chiniot, chiniot,,"['Chiniot Jhumra Road, Chiniot, Punjab, Pakistan', 0.0, 31.65782299999999, 73.06202979999999]",rajoa,chiniot,chiniot
chak no. 126/15l, mian channu, khanewal,,"['Chak No 126 / 15 L, Khanewal, Punjab, Pakistan', 0.0, 30.4260624, 72.3718091]",jarahi,mian channu,khanewal
chak no. 127/10r, jahanian, khanewal,,"['Chak 127/10R, Khanewal, Punjab, Pakistan', 0.0, 29.9304343, 71.68587509999999]",qutab pur,dunyapur,lodhran
chak no. 127r.b, chak jhumra, faisalabad,,"['Chak Jhumra, Faisalabad, Punjab, Pakistan', 0.0, 31.5628728, 73.1880618]",chak no. 155,chak jumra,faisalabad
chak no. 128 murad, chishtian, bahawalnagar,,"['Chak No 128 NB, Sargodha, Punjab, Pakistan', 0.0, 31.8357214, 72.49607929999999]",dera,sahiwal,sargodha
chak no. 129/15-l, mian channu, khanewal,,"['Chak No 129/15-L, Khanewal, Punjab, Pakistan', 0.0, 30.4640433, 72.359231]",chogatta pan,mian channu,khanewal
chak no. 129/6r, haroonabad, bahawalnagar,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 12bc, bahawalpur, bahawalpur,,"['Chak No.12 B.C(Alif), Bahawalpur, Punjab, Pakistan', 0.0, 29.3105235, 71.69329069999999]",chak no 024/bc,bahawalpur,bahawalpur
chak no 13 tareday wala, chunian, kasur,,"['Chak No 13/8.R, Khanewal, Punjab, Pakistan', 0.0, 30.4772966, 72.2992919]",chogatta pan,mian channu,khanewal
chak no. 13/1 l, renala khurd, okara,,"['Chak 13/1 L, Okara, Punjab, Pakistan', 0.0, 30.8063802, 73.5410078]",chak 52/2l,okara,okara
chak no 13/rb, safdarabad, sheikhupura,,"['Chak No 13/8.R, Khanewal, Punjab, Pakistan', 0.0, 30.4772966, 72.2992919]",chogatta pan,mian channu,khanewal
chak no. 131/15l, mian channu, khanewal,,"['Khewat No 47, Khatooni No 310-333, Mian Channu Bypass, Chak 131/15L, Mian Channu, Khanewal, Punjab 58000, Pakistan', 0.0, 30.4350119, 72.32324369999999]",14/8 ar,mian channu,khanewal
chak no. 132/2 a.r, okara, okara,,"['Okara, Punjab, Pakistan', 0.0, 30.8551289, 73.50809819999999]",chak 53/2l,okara,okara
chak no. 132/6r, haroonabad, bahawalnagar,,"['Chak 73/4 R, Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6016898, 73.1460243]",haroonabad c,haroonabad,bahawalnagar
chak no. 134/16l, mian channu, khanewal,,"['Chak No 134/16.L, Khanewal, Punjab, Pakistan', 0.0, 30.3866543, 72.24896269999999]",134/16-l,mian channu,khanewal
chak no. 136/10-r, jahanian, khanewal,,"['Chak 136/10 R, Multan, Punjab, Pakistan', 0.0, 29.9754642, 71.6836503]",136/10-r,jehanian,khanewal
chak no. 136/r.b, chak jhumra, faisalabad,,"['Chak 136 RB, Faisalabad, Punjab, Pakistan', 0.0, 31.5700128, 73.27211319999999]",chak no. 156,chak jumra,faisalabad
chak no. 137/16l, mian channu, khanewal,,"['Chak 137-16L, Khanewal, Punjab, Pakistan', 0.0, 30.3939055, 72.19122109999999]",134/16-l,mian channu,khanewal
chak no. 138 g.b, summundri, faisalabad,,"['Chak 138 GB Bara Rasiana, Faisalabad, Punjab, Pakistan', 0.0, 31.1046735, 72.9091436]",chak no. 527,samundri,faisalabad
chak no. 139-p, rahim yar khan, rahim yar khan,,"['Chak No. 139, Sargodha, Punjab, Pakistan', 0.0, 31.7338325, 72.39992289999999]",147 nb,sillanwali,sargodha
chak no. 139 r.b, chak jhumra, faisalabad,,"['Chak Jhumra Railway Station, Chak Jhumra, Faisalabad, Punjab, Pakistan', 0.0, 31.5698496, 73.18714]",chak no. 155,chak jumra,faisalabad
chak no. 14 m b, khushab, khushab,,"['Chak 14 MB, Khushab, Punjab, Pakistan', 0.0, 32.1650006, 71.8764032]",adhikot,noorpur,khushab
chak no. 14/1 al, renala khurd, okara,,"['Chak No 14/1.A.L, Okara, Punjab, Pakistan', 0.0, 30.89837369999999, 73.6639223]",chak 4/1al,renala khurd,okara
chak no. 14/8-ar, mian channu, khanewal,,"['Chak No 133/16-L Bus Stop, Chak 133 16-L Amrat Nagar, Khanewal, Punjab, Pakistan', 0.0, 30.4139363, 72.275448]",14/8 ar,mian channu,khanewal
chak no. 140/10, jahanian, khanewal,,"['Chak No. 140/10.R, Khanewal, Punjab, Pakistan', 0.0, 30.0167614, 71.75779969999999]",jehanian,jehanian,khanewal
chak no. 142/6r, haroonabad, bahawalnagar,,"['Chak 142, Sargodha, Punjab, Pakistan', 0.0, 31.9484325, 72.6602037]",50 nb,sargodha,sargodha
chak no. 142/g.b, summundri, faisalabad,,"['Chak 142, Sargodha, Punjab, Pakistan', 0.0, 31.9484325, 72.6602037]",50 nb,sargodha,sargodha
chak no. 146 r.b, chak jhumra, faisalabad,,"['Khewa 146 RB, Faisalabad, Punjab, Pakistan', 0.0, 31.60524999999999, 73.26621589999999]",chak no. 155,chak jumra,faisalabad
chak no. 147 g.b, jaranwala, faisalabad,,"['Chak 147 GB Jhok Balaqi, Faisalabad, Punjab, Pakistan', 0.0, 31.2648729, 73.46737159999999]",chak no. 282,jaranwala,faisalabad
chak no. 149/10r, jahanian, khanewal,,"['Chak 149/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.0852431, 71.82229579999999]",106/10-r,jehanian,khanewal
chak no. 15/1 r, okara, okara,,"['Chak 16-1/L, Okara, Punjab, Pakistan', 0.0, 30.8386061, 73.59032959999999]",chak 23/2-l,renala khurd,okara
chak no. 15/1r, haroonabad, bahawalnagar,,"['Chak No 15/1R, Okara, Punjab, Pakistan', 0.0, 30.9433296, 73.5373266]",kaman,renala khurd,okara
chak no. 15/w.b, mailsi, vehari,,"['Multan - Vehari Rd, Chak 108 WB, Vehari, Punjab, Pakistan', 0.0, 30.0701045, 72.0266839]",155/wb,vehari,vehari
chak no. 15/w.b, vehari, vehari,,"['Chak 15/8 L, Vehari, Punjab, Pakistan', 0.0, 30.0770678, 72.4714121]",521/eb,burewala,vehari
chak no. 151/g.b, toba tek singh, toba tek singh,,"['Chak 151 GB, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.9507641, 72.55227769999999]",296 gb,toba tek singh,toba tek singh
chak no. 151/r.b bharolianwala, jaranwala, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 31.5746909, 73.2979311]",chak no. 156,chak jumra,faisalabad
chak no. 152 shumali, sillanwali, sargodha,,"['Chak No. 152/9-L, Sahiwal District, Punjab, Pakistan', 0.0, 30.4815337, 72.98628529999999]",129/9.l,sahiwal,sahiwal
chak no. 152/2-l, haroonabad, bahawalnagar,,"['Chak No. 152/2L, Bahawalnagar, Punjab, Pakistan', 0.0, 29.4755403, 73.1932238]",chak no.82/5,haroonabad,bahawalnagar
chak no. 153, chiniot, chiniot,,"['Chak No 153JB, Chiniot, Punjab, Pakistan', 0.0, 31.5557812, 72.87446609999999]",chak 208,bhawana,chiniot
chak no. 154 g.b, gojra, toba tek singh,,"['Chak 285 GB, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.8551218, 72.5692828]",517/gb,toba tek singh,toba tek singh
chak no. 155/r.b, chak jhumra, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 31.5780183, 73.2466845]",chak no. 155,chak jumra,faisalabad
chak no. 155/w.b, vehari, vehari,,"['Unnamed Rd, Pakistan', 0.0, 30.0334733, 72.3842815]",15/wb,vehari,vehari
chak no. 156 r.b, chak jhumra, faisalabad,,"['Chak No 156 RB Dher Bus Stop, Chak Jhumra Rd, Chak 136 RB, Faisalabad, Punjab, Pakistan', 0.0, 31.5711225, 73.27324039999999]",chak no. 156,chak jumra,faisalabad
chak no. 157/10-r, jahanian, khanewal,,"['Chak No.151/10R, Khanewal, Punjab, Pakistan', 0.0, 30.1266558, 71.8437916]",55/10-r,jehanian,khanewal
chak no. 158 g.b, gojra, toba tek singh,,"['Chak 285 GB, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.8551218, 72.5692828]",517/gb,toba tek singh,toba tek singh
chak no. 159 r.b, chak jhumra, faisalabad,,"['Bilal Nagar, Faisalabad, Punjab, Pakistan', 0.0, 31.6249857, 73.16077520000002]",chak no. 159,chak jumra,faisalabad
chak no 16/w.b, vehari, vehari,,"['Chak No 16 Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.44504, 73.32591889999999]",nain,mandi bahauddin,mandi bahauddin
chak no. 161/g.b, gojra, toba tek singh,,"['Chak No 161 GB, Toba Tek Singh District, Punjab, Pakistan', 0.0, 31.0131639, 72.6720284]",284/ jb,toba tek singh,toba tek singh
chak no. 164/7r, haroonabad, bahawalnagar,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 164/t.d.a, leiah, leiah,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 166/e.b, vehari, vehari,,"['Chak Number 555/EB, Vehari, Punjab, Pakistan', 0.0, 30.0971366, 72.5281522]",447/eb,burewala,vehari
chak no. 167/7-r, fortabbas, bahawalnagar,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 168/9 l, chichawatni, sahiwal,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 169 murad, chishtian, bahawalnagar,,"['Chak No. 169 NB, Sargodha, Punjab, Pakistan', 0.0, 31.6967567, 72.4450467]",131 nb,sillanwali,sargodha
chak no. 17 ghagh, shorkot, jhang,,"['Chak No 17, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.4542672, 73.322971]",nain,mandi bahauddin,mandi bahauddin
chak no. 170 g.b, summundri, faisalabad,,"['Chak 170 GB Kutruwal, Faisalabad, Punjab, Pakistan', 0.0, 31.1406986, 73.1917489]",chak no. 32/,jaranwala,faisalabad
chak no. 171/10r, khanewal, khanewal,,"['Chak No.166/10-R Near Adda Mehar Shah, Khanewal, 58150, Pakistan', 0.0, 30.23985, 71.88844999999999]",88/10-r,khanewal,khanewal
chak no. 172/t.d.a, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
chak no. 173/e.b, burewala, vehari,,"['Chak No 291/E.B, Vehari, Punjab, Pakistan', 0.0, 30.10237489999999, 72.84637839999999]",225/eb,burewala,vehari
chak no. 175/g.b, summundri, faisalabad,,"['Chak No.175, Jhang, Punjab, Pakistan', 0.0, 31.3248903, 72.5093906]",chak no.220/jb,jhang,jhang
chak no. 176/7r, fortabbas, bahawalnagar,,"['Chak No 181/7-R (E), Bahawalnagar, Punjab, Pakistan', 0.0, 29.2961635, 72.8570866]",chak no. 226,fortabbas,bahawalnagar
chak no. 177 murad, chishtian, bahawalnagar,,"['Chak 177 Murad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.5494305, 72.8072342]",chak no. 201,chishtian,bahawalnagar
chak no. 178 g.b, gojra, toba tek singh,,"['Chak 285 GB, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.8551218, 72.5692828]",517/gb,toba tek singh,toba tek singh
chak no. 17d.n.b, yazman, bahawalpur,,"['Chak 114/DNB, Bahawalpur, Punjab, Pakistan', 0.0, 29.0777983, 71.4855913]",chak no 067/d b,yazman,bahawalpur
chak no. 18/1 l, renala khurd, okara,,"['Chak 18/1L lakhoki, Okara, Punjab, Pakistan', 0.0, 30.843846, 73.6146181]",chak 23/2-l,renala khurd,okara
chak no. 18/g.d, okara, okara,,"['Chak No. 18/G.D., Okara, Punjab, Pakistan', 0.0, 30.9337979, 73.4430661]",okara -2,okara,okara
chak no 180/r b, shah kot, nankana sahib,,"['Tiwana Chak No 50, Nankana Sahib, Punjab, Pakistan', 0.0, 31.5975278, 73.4629526]",chak no.78 r,safdarabad,sheikhupura
chak no. 183 g.b, toba tek singh, toba tek singh,,"['Chak 183 GB Mian Kot, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.94696279999999, 72.645422]",361 gb,toba tek singh,toba tek singh
chak no. 184 j.b, bhawana, chiniot,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 184/g.b, toba tek singh, toba tek singh,,"['Chak 184 GB, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.8291509, 72.64320470000001]",rajana,toba tek singh,toba tek singh
chak no. 185/7r, fortabbas, bahawalnagar,,"['Chak No. 185/7-R Khichiwala, Pakistan', 0.0, 29.330932, 72.95439859999999]",chak no.289/,fortabbas,bahawalnagar
chak no. 186/r.b, chak jhumra, faisalabad,,"['Chak No 156 RB Dher Bus Stop, Chak Jhumra Rd, Chak 136 RB, Faisalabad, Punjab, Pakistan', 0.0, 31.5711225, 73.27324039999999]",chak no. 156,chak jumra,faisalabad
chak no. 188 murad, hasilpur, bahawalpur,,"['Chak 188/M, Bahawalpur, Punjab, Pakistan', 0.0, 29.4839511, 72.6690723]",chak no 188/murad chonawala,hasilpur,bahawalpur
chak no. 189g.b, toba tek singh, toba tek singh,,"['Street - B, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.8892402, 72.6172816]",517/gb,toba tek singh,toba tek singh
chak no. 189r.b, chak jhumra, faisalabad,,"['Chak Jhumra, Faisalabad, Punjab, Pakistan', 0.0, 31.5628728, 73.1880618]",chak no. 155,chak jumra,faisalabad
chak no. 19/1 a.l akhter, renala khurd, okara,,"['Chak 16-1/L, Okara, Punjab, Pakistan', 0.0, 30.8386061, 73.59032959999999]",chak 23/2-l,renala khurd,okara
chak no. 19/9r, khanewal, khanewal,,"['Chak 19/9 R 5 Marla Scheme, Kacha Khuh, Khanewal, Punjab, Pakistan', 0.0, 30.3780667, 72.15531179999999]",7/9-r,khanewal,khanewal
chak no. 190 arbiwala, bhawana, chiniot,,"['Arbiwala, Muzaffargarh, Punjab, Pakistan', 0.0, 29.92810679999999, 71.1708447]",thatha qureshi,muzaffargarh,muzaffargarh
chak no. 192 murad, hasilpur, bahawalpur,,"['Chak No.192/W.B, Vehari, Punjab, Pakistan', 0.0, 29.9964349, 72.0108894]",shetab gaih,mailsi,vehari
chak no. 193g.b, summundri, faisalabad,,"['Chak No. 279 RB Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Pakistan', 0.0, 31.4290608, 73.0338865]",faisalabad c,faisalabad city,faisalabad
chak no. 195r.b, faisalabad sadar, faisalabad,,"['Chak 190 RB Karari Kalan, Faisalabad, Punjab, Pakistan', 0.0, 31.5434535, 73.1570876]",chak jumra -,chak jumra,faisalabad
chak no. 198/e.b, vehari, vehari,,"['Chak No 198/EB, Vehari, Punjab, Pakistan', 0.0, 30.1615662, 72.391785]",198/eb,vehari,vehari
chak no. 198/g.b, summundri, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 30.9111859, 72.7366852]",chak no. 205,samundri,faisalabad
chak no. 199/8-r, fortabbas, bahawalnagar,,"['Fort Abbas, Bahawalnagar, Punjab, Pakistan', 0.0, 29.193053, 72.8574558]",chak no. 264,fortabbas,bahawalnagar
chak no. 199/e.b, burewala, vehari,,"['Chak 199 EB, Vehari, Punjab, Pakistan', 0.0, 30.2287657, 72.76660629999999]",173/eb,burewala,vehari
chak no. 199r.b gatt wala, faisalabad sadar, faisalabad,,"['Chak No. 279 RB Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Pakistan', 0.0, 31.4290608, 73.0338865]",faisalabad c,faisalabad city,faisalabad
chak no. 19j.b, chak jhumra, faisalabad,,"['Chak Jhumra, Faisalabad, Punjab, Pakistan', 0.0, 31.5628728, 73.1880618]",chak no. 155,chak jumra,faisalabad
chak no. 1d.n.b, yazman, bahawalpur,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 200/j.b, bhawana, chiniot,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 200r.b laathiana wala, jaranwala, faisalabad,,"['Shahkot Rd، Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.450469, 73.4531485]",chak no. 97/,jaranwala,faisalabad
chak no. 201 murad, chishtian, bahawalnagar,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 201g.b, summundri, faisalabad,,"['Samundri, Faisalabad, Punjab, Pakistan', 0.0, 31.0646216, 72.9519622]",chak no. 467,samundri,faisalabad
chak no. 202r.b, faisalabad city, faisalabad,,"['Chak No 232 RB Rd, Chak 232 Rb, Faisalabad, Punjab, Pakistan', 0.0, 31.36053099999999, 73.04205859999999]",faisalabad c,faisalabad city,faisalabad
chak no. 203g.b, summundri, faisalabad,,"['Chak No. 279 RB Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Pakistan', 0.0, 31.4290608, 73.0338865]",faisalabad c,faisalabad city,faisalabad
chak no. 205g.b, jaranwala, faisalabad,,"['Shahkot Rd، Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.450469, 73.4531485]",chak no. 97/,jaranwala,faisalabad
chak no. 205g.b, summundri, faisalabad,,"['Chak 205 GB Rattar Chattar, Faisalabad, Punjab, Pakistan', 0.0, 30.9590669, 72.7791648]",chak no. 214,samundri,faisalabad
chak no. 208/j.b, bhawana, chiniot,,"['Chak No 208/9R, Bahawalnagar, Punjab, Pakistan', 0.0, 29.2945281, 72.99772519999999]",chak no.304/,fortabbas,bahawalnagar
chak no. 208r.b, faisalabad city, faisalabad,,"['208 RB, Faisalabad, Punjab, Pakistan', 0.0, 31.4254166, 73.16593780000001]",chak no. 209,faisalabad saddar,faisalabad
chak no. 209/9r, fortabbas, bahawalnagar,,"['Fort Abbas, Bahawalnagar, Punjab, Pakistan', 0.0, 29.193053, 72.8574558]",chak no. 264,fortabbas,bahawalnagar
chak no. 20j.b, chak jhumra, faisalabad,,"['Chak No 20 J.B Khanki, Faisalabad, Punjab, Pakistan', 0.0, 31.6739989, 73.1342229]",chak no. 19-,chak jumra,faisalabad
chak no. 214g.b, summundri, faisalabad,,"['Chak 217 GB Gujjar Pind, Faisalabad, Punjab, Pakistan', 0.0, 31.0168324, 72.8611481]",chak no. 228,samundri,faisalabad
chak no. 219r.b, faisalabad city, faisalabad,,"['Chak no.219 RB Mulvayanwala, Faisalabad, Punjab, Pakistan', 0.0, 31.4153547, 73.0095336]",faisalabad c,faisalabad city,faisalabad
chak no. 22/1 al, renala khurd, okara,,"[', Punjab, Pakistan', 0.0, 30.8925365, 73.62816459999999]",chak 4/1al,renala khurd,okara
chak no. 220r.b, faisalabad city, faisalabad,,"['Judge Wala, 1 Saani Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.4179331, 73.04047349999999]",faisalabad c,faisalabad city,faisalabad
chak no. 222r.b, faisalabad city, faisalabad,,"['Chak No 202 R.B Bhaiwala, Faisalabad Sangla Hill Road, Bhai Wala, Faisalabad, Punjab, Pakistan', 0.0, 31.4685119, 73.1307073]",chak no. 199,faisalabad saddar,faisalabad
chak no. 223/e.b, burewala, vehari,,"['Chak No 291/E.B, Vehari, Punjab, Pakistan', 0.0, 30.10237489999999, 72.84637839999999]",225/eb,burewala,vehari
chak no. 225/e.b, burewala, vehari,,"['Chak No 291/E.B, Vehari, Punjab, Pakistan', 0.0, 30.10237489999999, 72.84637839999999]",225/eb,burewala,vehari
chak no. 225g.b, summundri, faisalabad,,"['Chak No. 279 RB Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Pakistan', 0.0, 31.4290608, 73.0338865]",faisalabad c,faisalabad city,faisalabad
chak no. 226/7r, fortabbas, bahawalnagar,,"['Chak 110/7 R, Sahiwal District, Punjab, Pakistan', 0.0, 30.57227199999999, 72.74074879999999]",8/11.l,chichawatni,sahiwal
chak no. 226g.b, summundri, faisalabad,,"['Chak No. 279 RB Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Pakistan', 0.0, 31.4290608, 73.0338865]",faisalabad c,faisalabad city,faisalabad
chak no. 226r.b malkhanwala, faisalabad sadar, faisalabad,,"['Chak No. 279 RB Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Pakistan', 0.0, 31.4290608, 73.0338865]",faisalabad c,faisalabad city,faisalabad
chak no. 228g.b nara dada, summundri, faisalabad,,"['Chak No 228 GB Naradada, Faisalabad, Punjab, Pakistan', 0.0, 31.0911091, 72.87074799999999]",chak no. 527,samundri,faisalabad
chak no. 229r.b makoana, jaranwala, faisalabad,,"['Shahkot Rd، Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.450469, 73.4531485]",chak no. 97/,jaranwala,faisalabad
chak no. 22d.n.b, yazman, bahawalpur,,"['Chak 114/DNB, Bahawalpur, Punjab, Pakistan', 0.0, 29.0777983, 71.4855913]",chak no 067/d b,yazman,bahawalpur
