,UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape,UC Match with Returned Address in Google API,Tehsil Match,District Match,fuzzyUC,fuzzyTehsil,fuzzyDistrict,Manaual Tehsil,Manaual District,crossMatchTehsil,crossMatchDistrict
1298,gujar pura, shalimar town, lahore,,"['Shalimar Town Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.0580698, 70.6520561]",paigan,dera ghazi khan,dera ghazi khan,False,False,False,30,43,29,lahore,lahore,False,False
1299,gujiana noa, sheikhupura, sheikhupura,,"['Sheikhupura, Punjab, Pakistan', 0.0, 31.7166617, 73.98502429999999]",sheikhupura,sheikhupura,sheikhupura,False,True,True,18,100,100,sheikhupura,sheikhupura,True,True
1300,gujjomata, lahore cantt, lahore,,"['Gajju Matah, Lahore, Punjab, Pakistan', 0.0, 31.3862146, 74.36607839999999]",hair,lahore,lahore,False,False,True,56,100,100,lahore,lahore,True,True
1301,gujjomata, nashter town, lahore,,"['Gajju Matah, Lahore, Punjab, Pakistan', 0.0, 31.3862146, 74.36607839999999]",hair,lahore,lahore,False,False,True,56,50,100,lahore,lahore,True,True
1302,gul din colony, multan city, multan,,"['Gul Rd, Salmanpura, Multan, Punjab, Pakistan', 0.0, 30.1881268, 71.470771]",unknown_1,multan city,multan,False,True,True,67,100,100,multan city,multan,True,True
1303,gulab wala, jhang, jhang,,"['Gulab Wala, Chiniot, Punjab, Pakistan', 0.0, 31.5461086, 72.57224]",kalri,lalian,chiniot,True,False,False,80,36,33,jhang,jhang,False,False
1304,gulbarg town, ferozewala, sheikhupura,,"['Gulbarg Town Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.5661063, 73.4765776]",sohawa dillo,mandi bahauddin,mandi bahauddin,True,False,False,83,27,25,ferozewala,sheikhupura,False,False
1305,gulfishan colony, faisalabad city, faisalabad,,"['Gulfishan Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.4058972, 73.0420036]",faisalabad c,faisalabad city,faisalabad,True,True,True,88,100,100,faisalabad city,faisalabad,True,True
1306,gulgasht colony uc, samanabad town, lahore,,"['بابو صابو - نوناریاں روڈ، Gulzaib Colony Samanabad Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.545629, 74.288961]",sodiwal,lahore,lahore,False,False,True,56,17,100,lahore,lahore,True,True
1307,gulgusht colony, lahore city, lahore,,"['بابو صابو - نوناریاں روڈ، Gulzaib Colony Samanabad Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.545629, 74.288961]",sodiwal,lahore,lahore,False,False,True,53,100,100,lahor,lahore,False,True
1308,gulhari, mailsi, vehari,,"['Gulhari, Vehari, Punjab, Pakistan', 0.0, 29.7499177, 72.1253222]",fadda,mailsi,vehari,True,True,True,86,100,100,mailsi,vehari,True,True
1309,gullu wali, khanpur, rahim yar khan,,[],Not Found,Not Found,Not Found,False,False,False,-1,25,22,khanpur,rahim yar khan,False,False
1310,gulnar colony, multan city, multan,,"['Gulnar Colony Road, Grass Mandi, Multan, Punjab, Pakistan', 0.0, 30.1747873, 71.4292605]",rangeel pur,multan city,multan,True,True,True,85,100,100,multan city,multan,True,True
1311,gulshan block, lahore city, lahore,,"['Gulshan Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.5168955, 74.2920206]",sikandar block,lahore,lahore,True,False,True,85,100,100,lahor,lahore,False,True
1312,gulshan colony, faisalabad city, faisalabad,,"['Gulshan Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.441623, 73.1010282]",chak no. 197,faisalabad saddar,faisalabad,True,False,True,86,69,100,faisalabad city,faisalabad,False,True
1313,gulshan panj faiz, multan city, multan,,"['Gulshan St, Block A Model Town, Multan, Punjab, Pakistan', 0.0, 30.2440573, 71.499854]",dorana langana,multan city,multan,False,True,True,70,100,100,multan city,multan,True,True
1314,gulshan ravi, samanabad town, lahore,,"['Gulshan-e-Ravi, Lahore, Punjab 54000, Pakistan', 0.0, 31.552197, 74.2795524]",gulshan-e-ravi,lahore,lahore,False,False,True,67,17,100,lahore,lahore,True,True
1315,gulshan ravi, lahore city, lahore,,"['Gulshan-e-Ravi, Lahore, Punjab 54000, Pakistan', 0.0, 31.552197, 74.2795524]",gulshan-e-ravi,lahore,lahore,False,False,True,67,100,100,lahor,lahore,False,True
1316,gulshan rehman, burewala, vehari,,"['Burewala, Vehari, Punjab, Pakistan', 0.0, 30.1602732, 72.6657421]",257/eb,burewala,vehari,False,True,True,38,100,100,burewala,vehari,True,True
1317,gulzaib colony, multan city, multan,,"['Gulzaib Colony, Multan, Punjab, Pakistan', 0.0, 30.1697348, 71.48484930000001]",dera budhu malik,multan city,multan,True,True,True,86,100,100,multan city,multan,True,True
1318,gumtala, shakargarh, narowal,,"['Gumtala, Narowal, Punjab, Pakistan', 0.0, 32.2344366, 75.0742556]",malha,shakargarh,narowal,True,True,True,86,100,100,shakargarh,narowal,True,True
1319,gumtala, shaker garh, narowal,,"['Gumtala, Narowal, Punjab, Pakistan', 0.0, 32.2344366, 75.0742556]",malha,shakargarh,narowal,True,False,True,86,80,100,shakargarh,narowal,True,True
1320,gunj kalan, data gb town, lahore,,"['Gunj, Lahore, Punjab, Pakistan', 0.0, 31.5666126, 74.3836719]",mughalpura,lahore,lahore,False,False,True,75,17,100,lahore,lahore,True,True
1321,gunj kalan, lahore city, lahore,,"['Gunj, Lahore, Punjab, Pakistan', 0.0, 31.5666126, 74.3836719]",mughalpura,lahore,lahore,False,False,True,75,100,100,lahor,lahore,False,True
1322,habib pur, sambrial, sialkot,,"['Habibpur, Sialkot, Punjab, Pakistan', 0.0, 32.531505, 74.2784523]",veerowala,daska,sialkot,False,False,True,88,40,100,gujranwala saddar,sialkot,False,True
1323,habib pura 12, sialkot, sialkot,,"['Habib Pura Habibpura, Sialkot, Punjab, Pakistan', 0.0, 32.4781593, 74.5412017]",garhi,sialkot,sialkot,False,True,True,69,100,100,sialkot,sialkot,True,True
1324,habo ka zareen, nankana sahib, nankana sahib,,"['Nankana Sahib, Punjab, Pakistan', 0.0, 31.449151, 73.712479]",walgon machr,nankana sahib,sheikhupura,False,True,False,38,100,27,nankana sahib,sheikhupura,True,True
1325,habu kanwain, kabirwala, khanewal,,"['Kabirwala, Khanewal, Punjab, Pakistan', 0.0, 30.4010623, 71.8630625]",kabirwala -,kabirwala,khanewal,False,True,True,33,100,100,kabirwala,khanewal,True,True
1326,hadali urban 1, khushab, khushab,,"['Hadāli, Khushab, Punjab, Pakistan', 0.0, 32.2952621, 72.1949228]",botala,khushab,khushab,False,True,True,67,100,100,khushab,khushab,True,True
1327,hadali urban 2, khushab, khushab,,"['Hadāli, Khushab, Punjab, Pakistan', 0.0, 32.2952621, 72.1949228]",botala,khushab,khushab,False,True,True,67,100,100,khushab,khushab,True,True
1328,hadyara, lahore cantt, lahore,,[],Not Found,Not Found,Not Found,False,False,False,-1,33,29,lahore,lahore,False,False
1329,hadyara, wahga town, lahore,,[],Not Found,Not Found,Not Found,False,False,False,-1,35,29,lahore,lahore,False,False
1330,hafiz abad city 1, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad,False,True,True,89,100,100,hafizabad,hafizabad,True,True
1331,hafiz abad city 2, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad,False,True,True,89,100,100,hafizabad,hafizabad,True,True
1332,hafiz abad city 3, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad,False,True,True,89,100,100,hafizabad,hafizabad,True,True
1333,hafiz abad city 4, hafizabad, hafizabad,,"['Hafizabad Train Station, Street Number 4, Hafizabad, Punjab, Pakistan', 0.0, 32.0747929, 73.6917427]",hafizabad -,hafizabad,hafizabad,False,True,True,65,100,100,hafizabad,hafizabad,True,True
